vfam	num_pos	num_neg
Adenoviridae	15	14
Anelloviridae	61	0
Arenaviridae	11	24
Arteriviridae	0	17
Asfarviridae	0	1
Astroviridae	7	8
Birnaviridae	0	5
Bornaviridae	2	5
Caliciviridae	7	4
Circoviridae	22	2
Coronaviridae	7	23
Filoviridae	11	1
Flaviviridae	68	47
Genomoviridae	10	0
Hantaviridae	13	20
Hepadnaviridae	2	2
Hepeviridae	1	4
Kolmioviridae	4	0
Matonaviridae	2	0
Mesoniviridae	1	0
Nairoviridae	9	8
NoFam	11	0
Orthoherpesviridae	24	38
Orthomyxoviridae	10	3
Papillomaviridae	53	15
Paramyxoviridae	28	36
Parvoviridae	19	8
Peribunyaviridae	32	24
Phasmaviridae	0	2
Phenuiviridae	28	15
Picobirnaviridae	2	1
Picornaviridae	29	60
Pneumoviridae	6	3
Polyomaviridae	15	4
Poxviridae	12	14
Redondoviridae	2	0
Retroviridae	19	25
Rhabdoviridae	30	95
Sedoreoviridae	10	26
Smacoviridae	10	0
Spinareoviridae	7	25
Sunviridae	0	1
Tobaniviridae	1	8
Togaviridae	18	12
unclassified Anelloviridae	12	0
unclassified Astroviridae	6	0
unclassified Bornaviridae	1	0
unclassified Circoviridae	9	0
unclassified Coronaviridae	3	0
unclassified Dicistroviridae	1	0
unclassified Flaviviridae	2	0
unclassified Genomoviridae	2	0
unclassified Hepeviridae	1	0
unclassified Nodaviridae	1	0
unclassified Papillomaviridae	19	0
unclassified Peribunyaviridae	2	0
unclassified Polyomaviridae	2	0
unclassified Redondoviridae	1	0
unclassified Retroviridae	3	0
