Top_K,knn_val,rf_val,svm_val,xgb_val
50,0.7885354241848685,0.8205360240582462,0.7997063057929723,0.8058438453624565
100,0.8163815218423552,0.840252693099082,0.8295130974992087,0.8379866872427983
150,0.818386145932257,0.8442144768914214,0.8348606014561569,0.846233151313707
200,0.8236136554289331,0.8500242964545742,0.8427990899018677,0.8432886388097499
250,0.8213622427983541,0.8485552350427349,0.8431227595758153,0.8364112416904084
300,0.8171223330167776,0.8509977967711302,0.8390463334916112,0.8357313414055081
350,0.817693393478949,0.852780757359924,0.8419239150047484,0.840048308800253
400,0.8181859718265274,0.850123287432732,0.8421494468186136,0.8349262923393481
450,0.8329487290281734,0.8591903830326052,0.8467212503956947,0.8391507201646091
500,0.8367812591009813,0.8636973868312758,0.8527927429566319,0.8461264181703071
550,0.8373830476416586,0.8617749596391261,0.8585928735359291,0.843742412947135
600,0.8332680088635643,0.8613454637543526,0.8590484006014562,0.8394848899968343
650,0.8291289197530862,0.8613748646723647,0.8645767988287432,0.8393587266540044
700,0.8286001084203862,0.8594340986071543,0.8615138263691041,0.8357325443178221
750,0.8247913414055081,0.8588271589110478,0.8622117703387147,0.8371224778410893
800,0.8273466587527697,0.8694701851851854,0.869400802469136,0.8433468550174106
850,0.8307521565368786,0.8666467869578982,0.8680542291864514,0.8443159037670148
900,0.8332624469768913,0.8612501875593541,0.8611326274137387,0.8377912780943337
950,0.8338588920544475,0.864223779677113,0.8608846850269073,0.8343077049699271
1000,0.8392071858182968,0.8709996407090853,0.8759628458372904,0.8456206790123456
1050,0.8357513350743905,0.8668302904400127,0.8755838144982591,0.84360643558088
1100,0.8367648607154164,0.8749663176638178,0.8836260857866415,0.8512873203545426
1150,0.8348603964862299,0.8752170006331117,0.8806313564419119,0.8524199984172206
1200,0.8375432225387783,0.8757082169990504,0.8848316049382713,0.8547743083254195
1250,0.8428151432415322,0.875926452991453,0.8863691642924977,0.8505513849319405
1300,0.8437208333333334,0.8755840257993036,0.8855204969927192,0.8515483127572017
1350,0.8429762298195632,0.875334514878126,0.8840261427666982,0.8516999145299146
1400,0.8423886641342196,0.8751480096549539,0.8840344191199745,0.850346962646407
1450,0.840848156062045,0.8735556987970877,0.8834093779677115,0.8496861522633746
1500,0.8380831742640076,0.8737072103513771,0.8833414529914531,0.8469441168091167
1550,0.8402416793289017,0.8723627841088952,0.8845254004431783,0.8475859639126305
1600,0.8391399572649573,0.8708556521050967,0.8828562345679012,0.8466518692624247
1650,0.8371899952516622,0.8721196573282683,0.8815731339031337,0.8441798179803734
1700,0.8376690804051914,0.8699559472934473,0.8820865922760366,0.8432675957581514
1750,0.8342465637860085,0.8689951843937955,0.883636949984172,0.8421022348844569
1800,0.8366850680595125,0.8716979051915164,0.8840669214941437,0.8427129360557138
1850,0.8355849548907882,0.8721051986388099,0.883875943336499,0.8414103054764166
1900,0.8377176994301994,0.8692104257676481,0.8834312108262107,0.8419317252295031
1950,0.8384221161760053,0.870994517252295,0.8830530816714152,0.840707185818297
2000,0.8373052991452993,0.8678689901867679,0.8820649493510605,0.8394622602089268
